latitude,longitude,timestamp,temperature,windspeed,humidity,precipitation,dewpoint,cloud_cover,pressure,solar_radiation,sunshine_duration,month,year,ndvi,elevation,Cluster
-4.0,31.1667,2014-06-15 00:00:00.000,19.8,4.0,93,0.0,18.7,63,897.3,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 01:00:00.000,19.7,3.7,93,0.0,18.5,64,897.3,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 01:59:59.990,19.7,3.1,92,0.0,18.3,77,897.6,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 02:59:59.985,19.6,2.9,91,0.0,18.1,80,898.0,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 03:59:59.980,19.5,3.6,91,0.0,18.0,79,898.5,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 04:59:59.975,20.4,4.1,88,0.0,18.3,74,899.0,75.0,2487.23,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 05:59:59.970,22.9,8.4,79,0.0,19.1,39,900.2,295.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 06:59:59.965,25.2,10.2,72,0.0,19.8,95,900.7,565.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 07:59:59.960,26.9,9.7,62,0.0,19.0,62,900.6,703.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 08:59:59.955,27.9,6.0,58,0.4,18.9,100,900.3,838.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 09:59:59.950,29.2,5.2,52,0.0,18.4,74,899.7,961.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 10:59:59.945,29.7,5.5,50,0.0,18.2,100,898.7,870.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 11:59:59.940,29.9,5.1,48,0.0,17.7,93,897.6,721.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 12:59:59.935,29.6,4.7,48,0.0,17.4,100,896.6,596.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 13:59:59.930,29.0,3.8,50,0.0,17.6,100,895.7,375.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 14:59:59.925,28.5,3.6,50,0.0,17.1,100,896.0,254.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 15:59:59.920,26.3,5.2,62,0.1,18.4,100,896.2,67.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 16:59:59.915,23.9,4.8,78,0.6,19.9,100,897.5,1.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 17:59:59.910,23.1,4.6,84,2.2,20.3,100,898.2,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 18:59:59.905,22.6,3.4,86,3.2,20.1,100,898.9,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 19:59:59.900,22.0,3.7,88,3.1,19.9,100,899.3,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-15 20:59:59.895,21.6,2.8,90,0.3,19.9,100,898.9,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-15 21:59:59.890,21.4,1.1,91,0.0,19.8,100,898.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-15 22:59:59.885,21.1,2.0,92,0.0,19.7,100,898.0,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-15 23:59:59.880,20.7,5.1,94,0.0,19.7,97,897.7,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 00:59:59.875,20.5,4.2,93,0.0,19.3,100,897.6,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 01:59:59.870,20.3,3.1,93,0.0,19.2,100,897.8,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 02:59:59.865,20.1,3.4,93,0.4,18.9,100,898.1,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 03:59:59.860,20.1,1.5,92,0.0,18.7,100,898.1,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 04:59:59.855,20.5,2.4,92,0.0,19.1,100,898.7,48.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 05:59:59.850,22.3,1.8,88,0.0,20.2,100,899.5,205.0,1230.66,6,2014,4570,1120,1
-4.0,31.1667,2014-06-16 06:59:59.845,23.9,2.6,82,0.0,20.6,100,899.9,405.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-16 07:59:59.840,25.5,2.5,76,0.0,21.0,85,899.7,625.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-16 08:59:59.835,27.0,3.1,68,0.0,20.6,89,899.3,761.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-16 09:59:59.830,28.1,2.2,64,0.1,20.7,93,898.6,875.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 10:59:59.825,28.6,2.6,60,0.1,20.1,98,897.6,797.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-16 11:59:59.820,29.1,1.5,57,0.1,19.7,100,896.7,743.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 12:59:59.815,28.7,1.4,58,0.1,19.6,100,895.7,566.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 13:59:59.810,26.0,12.3,73,3.0,20.8,100,895.4,295.0,1799.53,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 14:59:59.805,25.1,5.1,75,1.1,20.4,100,895.1,144.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 15:59:59.800,24.7,0.8,81,0.0,21.2,100,895.3,54.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 16:59:59.795,23.6,2.3,86,0.0,21.1,100,895.7,1.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 17:59:59.790,22.8,1.9,89,0.0,20.9,100,896.2,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 18:59:59.785,22.3,2.2,90,0.0,20.6,70,896.7,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-16 19:59:59.780,21.7,2.2,92,0.0,20.3,100,897.0,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 20:59:59.775,21.3,2.3,93,0.0,20.1,100,896.9,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 21:59:59.770,20.8,2.9,95,0.0,19.9,100,896.4,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 22:59:59.765,20.2,2.5,97,0.0,19.7,100,895.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-16 23:59:59.760,19.8,2.3,97,0.0,19.3,100,895.1,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-17 00:59:59.755,19.2,2.6,100,0.0,19.2,100,895.1,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-17 01:59:59.750,18.9,3.2,99,0.0,18.8,100,895.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-17 02:59:59.745,19.0,2.8,98,0.0,18.7,100,896.4,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-17 03:59:59.740,19.0,1.6,97,0.0,18.5,100,896.6,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 04:59:59.735,19.5,1.8,98,0.0,19.2,100,897.2,70.0,214.43,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 05:59:59.730,22.1,3.2,90,0.0,20.4,94,898.5,298.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-17 06:59:59.725,24.6,1.8,80,0.0,20.9,100,898.9,545.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-17 07:59:59.720,26.1,4.7,71,0.1,20.4,100,898.5,660.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 08:59:59.715,27.0,4.5,69,0.1,20.8,100,898.1,684.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 09:59:59.710,27.8,3.8,64,0.1,20.3,100,897.6,697.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-17 10:59:59.705,28.9,3.7,58,0.0,19.8,100,896.9,839.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-17 11:59:59.700,29.3,4.7,56,0.0,19.6,100,895.8,819.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 12:59:59.695,28.8,6.2,57,0.1,19.5,100,895.0,544.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 13:59:59.690,28.3,7.1,59,0.0,19.5,100,894.7,414.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 14:59:59.685,27.4,7.3,64,0.0,20.0,100,894.9,259.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 15:59:59.680,25.5,4.8,76,0.2,20.9,100,894.9,81.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 16:59:59.675,23.7,3.2,86,0.0,21.2,100,894.9,1.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 17:59:59.670,22.9,1.8,89,0.0,21.0,36,895.8,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 18:59:59.665,22.1,3.5,92,0.0,20.7,100,896.6,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 19:59:59.660,21.6,4.6,93,0.0,20.4,100,896.8,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 20:59:59.655,21.2,5.9,92,0.0,19.9,70,896.8,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 21:59:59.650,20.8,6.0,92,0.0,19.5,100,896.2,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 22:59:59.645,20.6,4.6,92,0.0,19.3,100,895.7,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-17 23:59:59.640,20.5,4.8,92,0.0,19.2,100,895.3,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 00:59:59.635,20.5,4.8,91,0.0,19.0,100,895.3,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 01:59:59.630,20.4,3.8,91,0.0,18.9,100,895.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-18 02:59:59.625,20.2,3.4,91,0.0,18.7,100,895.9,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-18 03:59:59.620,20.0,1.9,90,0.0,18.3,100,896.1,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 04:59:59.615,20.8,1.3,88,0.0,18.7,100,896.9,75.0,1911.59,6,2014,4570,1120,1
-4.0,31.1667,2014-06-18 05:59:59.610,23.1,3.8,80,0.0,19.5,100,898.4,283.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-18 06:59:59.605,25.3,7.5,73,0.0,20.1,39,898.9,542.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 07:59:59.600,27.2,8.6,68,0.0,20.8,73,898.9,763.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 08:59:59.595,28.5,8.0,62,0.2,20.5,100,898.2,871.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 09:59:59.590,29.0,5.4,60,0.2,20.4,100,897.7,833.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 10:59:59.585,29.4,5.2,58,0.2,20.3,100,896.9,784.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 11:59:59.580,28.8,6.1,60,0.2,20.3,100,895.9,581.0,3446.44,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 12:59:59.575,27.8,7.4,64,1.6,20.3,100,895.5,410.0,790.42,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 13:59:59.570,26.2,10.1,70,1.6,20.3,100,895.2,246.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 14:59:59.565,24.9,11.5,76,1.6,20.4,100,895.2,126.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 15:59:59.560,24.1,8.8,81,0.0,20.6,100,895.5,48.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 16:59:59.555,23.4,4.3,85,0.0,20.7,100,896.1,5.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 17:59:59.550,22.8,2.4,89,0.0,20.9,100,896.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-18 18:59:59.545,22.4,2.9,92,0.4,21.0,100,897.2,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 19:59:59.540,22.1,3.1,94,0.4,21.1,100,897.8,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 20:59:59.535,21.8,3.4,95,0.4,20.9,100,898.1,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 21:59:59.530,21.5,4.0,95,0.6,20.6,100,897.8,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 22:59:59.525,21.2,5.0,95,0.6,20.3,100,897.2,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-18 23:59:59.520,20.9,5.4,94,0.6,19.9,100,896.8,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 00:59:59.515,20.6,4.5,94,0.3,19.6,100,896.6,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 01:59:59.510,20.2,3.2,94,0.3,19.2,100,896.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 02:59:59.505,20.2,2.3,94,0.3,19.2,100,897.0,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 03:59:59.500,20.7,1.9,93,0.0,19.5,100,897.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 04:59:59.495,21.4,2.5,91,0.0,19.8,100,898.7,57.0,609.15,6,2014,4570,1120,1
-4.0,31.1667,2014-06-19 05:59:59.490,22.3,3.9,88,0.0,20.2,100,899.4,179.0,2010.66,6,2014,4570,1120,1
-4.0,31.1667,2014-06-19 06:59:59.485,23.4,5.6,83,0.4,20.4,100,899.6,323.0,3241.4,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 07:59:59.480,24.7,7.4,78,0.4,20.6,100,899.5,487.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 08:59:59.475,25.7,8.4,73,0.4,20.5,100,899.2,623.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 09:59:59.470,26.4,7.9,70,0.2,20.5,100,898.6,690.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 10:59:59.465,26.8,6.4,68,0.2,20.4,100,897.8,689.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 11:59:59.460,26.9,4.8,68,0.2,20.5,100,897.1,616.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-19 12:59:59.455,26.4,3.2,70,1.2,20.5,100,896.6,474.0,2307.18,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 13:59:59.450,25.6,1.6,73,1.2,20.4,100,896.2,306.0,326.65,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 14:59:59.445,24.8,0.5,77,1.2,20.5,100,896.1,163.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 15:59:59.440,24.1,0.5,80,0.1,20.5,100,896.4,58.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 16:59:59.435,23.5,0.5,84,0.1,20.6,100,897.1,5.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-19 17:59:59.430,22.9,0.8,87,0.1,20.6,100,897.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 18:59:59.425,22.3,0.5,89,0.0,20.4,100,898.2,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 19:59:59.420,21.9,1.4,91,0.0,20.3,100,898.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 20:59:59.415,21.4,1.8,93,0.0,20.2,100,898.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 21:59:59.410,21.0,1.8,95,0.0,20.2,100,898.3,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 22:59:59.405,20.7,2.2,96,0.0,20.1,100,897.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-19 23:59:59.400,20.4,3.2,97,0.0,19.9,100,897.0,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 00:59:59.395,20.1,3.6,97,0.0,19.6,100,897.0,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 01:59:59.390,19.8,3.3,97,0.0,19.3,100,897.2,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 02:59:59.385,19.8,3.1,96,0.0,19.2,100,897.5,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 03:59:59.380,20.4,2.6,94,0.0,19.4,100,898.1,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 04:59:59.375,21.3,1.8,92,0.0,19.9,100,898.8,47.0,221.92,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 05:59:59.370,21.9,1.6,91,0.0,20.4,100,899.3,145.0,1083.88,6,2014,4570,1120,1
-4.0,31.1667,2014-06-20 06:59:59.365,23.5,4.3,85,0.0,20.8,99,899.9,292.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-20 07:59:59.360,24.7,6.1,78,0.0,20.6,99,899.7,427.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 08:59:59.355,25.8,6.4,72,0.0,20.3,99,899.4,537.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 09:59:59.350,26.5,4.0,67,0.0,19.9,99,899.0,592.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-20 10:59:59.345,26.9,1.9,64,0.0,19.5,100,898.6,591.0,2691.92,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 11:59:59.340,27.0,4.1,63,0.0,19.3,100,898.1,534.0,1246.12,6,2014,4570,1120,2
-4.0,31.1667,2014-06-20 12:59:59.335,26.6,4.3,66,1.3,19.7,100,897.6,419.0,288.17,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 13:59:59.330,25.8,3.7,72,1.3,20.4,100,896.9,280.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 14:59:59.325,25.0,2.8,78,1.3,20.9,100,896.6,163.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 15:59:59.320,24.3,2.3,82,0.0,21.0,100,896.7,66.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 16:59:59.315,23.5,1.8,87,0.0,21.2,100,897.3,7.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 17:59:59.310,22.7,1.3,90,0.0,21.0,100,897.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 18:59:59.305,22.1,0.0,93,0.0,20.9,100,897.7,0.0,0.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-20 19:59:59.300,21.6,1.1,95,0.0,20.7,100,897.8,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 20:59:59.295,21.1,2.1,96,0.0,20.5,100,897.7,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 21:59:59.290,20.7,2.3,97,0.0,20.2,100,897.4,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 22:59:59.285,20.4,2.3,98,0.0,20.1,100,896.9,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-20 23:59:59.280,20.2,2.5,98,0.0,19.8,100,896.6,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-21 00:59:59.275,19.8,2.5,98,0.0,19.5,99,896.5,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-21 01:59:59.270,19.6,2.3,99,0.0,19.4,98,896.8,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-21 02:59:59.265,19.6,2.4,98,0.0,19.3,97,897.2,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-21 03:59:59.260,20.2,2.4,97,0.0,19.7,98,898.0,0.0,0.0,6,2014,4570,1120,0
-4.0,31.1667,2014-06-21 04:59:59.255,21.1,2.4,94,0.0,20.1,98,899.0,79.0,2387.31,6,2014,4570,1120,1
-4.0,31.1667,2014-06-21 05:59:59.250,22.3,2.7,90,0.0,20.6,99,899.8,250.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-21 06:59:59.245,23.9,3.9,83,0.1,20.9,90,900.2,440.0,3600.0,6,2014,4570,1120,1
-4.0,31.1667,2014-06-21 07:59:59.240,25.8,5.0,73,0.1,20.6,81,900.3,642.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 08:59:59.235,27.2,5.7,66,0.1,20.3,72,900.1,798.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 09:59:59.230,28.1,4.7,62,0.1,20.1,74,899.4,854.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 10:59:59.225,28.6,3.2,60,0.1,20.1,77,898.3,822.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 11:59:59.220,28.7,1.8,59,0.1,19.9,79,897.5,738.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 12:59:59.215,28.4,3.8,60,0.2,19.9,86,896.9,632.0,3600.0,6,2014,4570,1120,2
-4.0,31.1667,2014-06-21 13:59:59.210,27.7,7.7,64,0.2,20.2,93,896.3,491.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 14:59:59.205,26.8,9.5,68,0.2,20.4,100,896.1,309.0,3600.0,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 15:59:59.200,25.7,6.8,74,0.0,20.7,71,896.3,115.0,3337.49,6,2014,4570,1120,-1
-4.0,31.1667,2014-06-21 16:59:59.195,24.4,2.5,80,0.0,20.7,43,896.6,11.0,6.26,6,2014,4570,1120,-1
